Full Name,Primary Company,Founding Time,Previous startups?,Consulting before start-up,Standardized University,Standardized Major,Degree Type,Graduate Degree Time,Standardized Graduate Institution,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,Years of Employment,Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?,Stanford or Berkeley,Ivy League,Crunchbase,LinkedIn
Ari Mir,Clutter,2013.0,3.0,0.0,University of Southern California,Business,BS,,,,,0.0,8.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ari-mir,https://www.linkedin.com/in/arimir/
James Crawford,"Orbital Insight, Inc.",2013.0,0.0,0.0,Rice University,,,1985.0,University of Texas Austin,Computer Science,PhD,0.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/james-crawford-5,https://www.linkedin.com/in/jmcrawfordjr
Stephen Dash,Credible,2012.0,1.0,0.0,University of Queensland,Business,BA,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/stephen-dash,https://www.linkedin.com/in/stephendash/
Brit Morin,Brit + Co,2011.0,0.0,0.0,University of Texas Austin,,BA,,,,,0.0,2.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/brit-morin,http://www.linkedin.com/in/bbohnet
Isaac Oates,Justworks,2012.0,1.0,0.0,University of Illinois Urbana-Champaign,Computer Science,BS,2005.0,Cornell University,Business,MBA,1.0,6.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/isaac-oates,https://www.linkedin.com/in/ioates
Jerry Hum,Touch of Modern,2012.0,1.0,0.0,Cornell University,Architecture,BA,,,,,1.0,5.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jerry-hum,
Robin Chase,Zipcar,2000.0,2.0,1.0,Wellesley College,English,BA,1984.0,Massachusetts Institute of Technology,Business,MBA,0.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/robin-chase,http://www.linkedin.com/pub/robin-chase/2/314/38b
Michael Winn,DroneDeploy,2013.0,1.0,0.0,Rhodes University,Economics,BS,,,,,0.0,8.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/mike-winn,http://www.linkedin.com/in/mikewinn1
Sean Spector,"Dropoff, Inc.",2014.0,1.0,0.0,University of Southern California,Film,AA,1990.0,San Francisco State University,Film,BA,0.0,2.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/sean-spector,https://www.linkedin.com/in/seanspector
Horace Luke,Gogoro,2011.0,0.0,0.0,University of Washington,Design,BA,,,,,1.0,10.0,1.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/horace-luke,http://www.linkedin.com/in/horaceluke
Chris Herbert,TrackR,2015.0,0.0,0.0,University of California Santa Barbara,Electrical Engineering,BS,,,,,1.0,5.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/chris-herbert,http://www.linkedin.com/in/cgherb
Maureen Fan,Baobab Studios,2015.0,0.0,0.0,Stanford University,Computer Science,BS,,Harvard University,Business,MBA,1.0,10.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/maureen-fan,https://www.linkedin.com/in/maureen-fan-670790
Steph Korey,Away,2015.0,0.0,1.0,Brown University,International Relations,BA,2014.0,Columbia University,Business,MBA,0.0,6.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/steph-korey,https://www.linkedin.com/in/stephaniekorey
Trevor Traina,IfOnly,2011.0,0.0,0.0,Princeton University,,BA,,University of California Berkeley,Business,MBA,1.0,10.0,1.0,0.0,1.0,0.0,0,1,https://www.crunchbase.com/person/trevor-traina,http://www.linkedin.com/pub/trevor-traina/0/ab6/87b
Louay Eldada,Quanergy Systems,2012.0,0.0,0.0,Columbia University,Electrical Engineering,BS,2011.0,Stanford University,Business,MBA,0.0,3.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/louay-eldada,http://www.linkedin.com/in/louayeldada
Jasen Wang,Makeblock,2011.0,0.0,0.0,Northwestern Polytechnic University,Engineering,MS,,,,,1.0,14.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jasen-wang,https://www.linkedin.com/in/jasen-wang-50383153/
Jeff Tangney,Doximity,2010.0,0.0,1.0,University of Wisconsin Madison,Economics,BS,1997.0,Stanford University,Business,,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jeff-tangney,http://www.linkedin.com/in/jtangney
Ross McCray,VideoAmp,2014.0,0.0,0.0,University of California Los Angeles,Physics,BS,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ross-mccray,http://www.linkedin.com/in/rossmccray
Amit Sharma,Narvar,2013.0,0.0,1.0,University of Mumbai,Electrical Engineering,BS,,Duke University,Business,MBA,0.0,7.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/amit-sharma-9,https://www.linkedin.com/in/amitsharma
Rami Essaid,Distil Networks,2011.0,0.0,0.0,North Carolina State University,Computer Science,BS,2003.0,Campbell University,Business,,1.0,13.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/rami-essaid,http://www.linkedin.com/in/ramiessaid
Joe Fernandez,Joymode,2015.0,1.0,0.0,University of Miami,Business,,,,,,1.0,4.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/joe-fernandez,https://www.linkedin.com/in/joeyfernandez
Zoe Barry,ZappRx,2012.0,0.0,1.0,Columbia University,History,BA,,,,,0.0,8.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/zoe-barry,https://www.linkedin.com/in/zoebarry
Yan-David Erlich,Parsable,2013.0,3.0,0.0,Rice University,Computer Science,BS,,Stanford University,Business,MBA,1.0,12.0,1.0,1.0,1.0,0.0,0,0,https://www.crunchbase.com/person/yan-david-erlich,http://www.linkedin.com/in/yanda
Andrew Leto,GlobalTranz,2017.0,2.0,0.0,,,,,,,,0.0,5.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/andrew-leto,https://www.linkedin.com/pub/andrew-leto/4/558/654
Michael Jaconi,Button,2013.0,2.0,1.0,University of Southern California,Political Science,,2012.0,Harvard University,Business,Executive Education,1.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-jaconi,https://www.linkedin.com/in/michaeljaconi
Mike Sha,Wikinvest,2011.0,1.0,1.0,Harvard University,Mathematics,BA,2001.0,Harvard University,Computer Science,MS,0.0,6.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/mike-sha,http://www.linkedin.com/in/miketsha
Ashvin Kumar,"Tophatter, Inc.",2011.0,1.0,0.0,Stanford University,Computer Science,BS,,,,,1.0,1.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/ashvin-kumar,https://www.linkedin.com/in/ashvink/
Momchil Kyurkchiev,Leanplum,2012.0,0.0,0.0,State University of New York College at Brockport,Computer Science,BS,2009.0,Carnegie Mellon University,Computer Science,MS,1.0,5.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/momchil-kyurkchiev,http://www.linkedin.com/in/momchilkyurkchiev
Brian Brackeen,Kairos AR,2014.0,0.0,0.0,Harvard University,Political Science,BA,1977.0,Harvard University,Business,MBA,0.0,5.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/brian-brackeen,http://www.linkedin.com/pub/brian-brackeen/b/ba9/6bb
Kevin Gibbon,Shyp,2013.0,2.0,1.0,British Columbia Institute of Technology,Computer Science,,,,,,1.0,14.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/kevin-gibbon,http://www.linkedin.com/in/kevingibbon
Daniel Ruch,Rocketrip,2013.0,0.0,0.0,University of Wisconsin Madison,Psychology,BA,,,,,1.0,12.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/daniel-ruch,http://www.linkedin.com/in/danruch
Matt Riley,Swiftype,2012.0,0.0,0.0,University of Texas Austin,Electrical Engineering,BS,2006.0,University of Texas Austin,Electrical Engineering,MS,0.0,13.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/matt-riley,https://www.linkedin.com/in/matthewriley
Lew Cirne,New Relic,2008.0,1.0,0.0,Dartmouth College,Computer Science,BA,,,,,0.0,8.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/lewis-cirne,http://www.linkedin.com/in/lewcirne
Vasu Kulkarni,Krossover,2010.0,0.0,0.0,University of Pennsylvania,Computer Science,BS,,,,,0.0,11.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/vasu-kulkarni,http://www.linkedin.com/in/vasudevkulkarni
Will Ahmed,WHOOP,2012.0,0.0,1.0,Harvard University,Economics,BA,,,,,0.0,13.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/will-ahmed,https://www.linkedin.com/in/willahmed
Steve Polsky,Juvo,2014.0,1.0,0.0,University of Pennsylvania,Computer Science,BE,1981.0,University of Pennsylvania,Business,,0.0,2.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/steve-polsky,https://www.linkedin.com/in/stevepolsky
Anthemos Georgiades,Zumper,2012.0,0.0,1.0,University of Oxford,,BA,2010.0,Harvard University,Business,MBA,1.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/anthemos-georgiades,http://www.linkedin.com/pub/anthemos-georgiades/22/337/679
Dan Widmaier,Bolt Threads,2010.0,0.0,0.0,University of Washington,Chemistry,BS,2004.0,University of California San Francisco,Chemistry,PhD,1.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/dan-widmaier,http://www.linkedin.com/pub/dan-widmaier/1/60/176
Immad Akhund,Heyzap,2008.0,1.0,0.0,,,,2002.0,University of Cambridge,Computer Science,MA,1.0,13.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/immad-akhund,http://www.linkedin.com/in/iakhund
Jesse Vollmar,FarmLogs,2007.0,0.0,0.0,Saginaw Valley State University,Computer Science,BS,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jesse-vollmar,http://www.linkedin.com/in/vollmarj
Amir Husain,SparkCognition,2013.0,1.0,0.0,University of Texas Austin,Computer Science,BS,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/amir-husain,https://www.linkedin.com/in/amirhusain
Travis Katz,Trip.com,2016.0,0.0,1.0,Stanford University,Public Policy,BA,1999.0,University of Pennsylvania,Business,MBA,0.0,4.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/travis-katz,http://www.linkedin.com/in/traviskatz
Travis Katz,Zipwhip,,0.0,0.0,,,,,,,,1.0,5.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/travis-katz,http://www.linkedin.com/in/traviskatz
Moshe Yanai,INFINIDAT,,0.0,0.0,,,,,,,,0.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/moshe-yanai,https://www.linkedin.com/in/moshe-yanai-862774b2
Nat Friedman,Xamarin,2011.0,1.0,0.0,Massachusetts Institute of Technology,Computer Science,BS,,,,,0.0,11.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/nat-friedman,http://www.linkedin.com/in/natfriedman
Zachary Sims,Codecademy,2011.0,0.0,1.0,Columbia University,Political Science,BA,,,,,0.0,14.0,1.0,0.0,0.0,1.0,0,1,https://www.crunchbase.com/person/zach-sims,http://www.linkedin.com/in/zacharysims
David Shim,Placed,2011.0,2.0,0.0,University of Washington,Political Science,BA,,,,,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/david-shim,http://www.linkedin.com/in/davidshim
Zac Bookman,OpenGov,2017.0,0.0,0.0,San Jose State University,Business,BA,,,,,0.0,13.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/zac-bookman,http://www.linkedin.com/pub/zac-bookman/5/a/b19
Oren J. Falkowitz,Area 1 Security,,0.0,0.0,,,,,,,,0.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/oren-j-falkowitz,http://www.linkedin.com/in/orenjfalkowitz
Sam Rosen,MakeSpace,2013.0,2.0,0.0,New York University,Economics,BS,,,,,1.0,2.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/sam-rosen-2,http://www.linkedin.com/in/samirosen
Jens Christensen,Jaunt,2013.0,3.0,0.0,Columbia University,Computer Science,BA,1985.0,Stanford University,Computer Science,PhD,1.0,11.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jens-christensen,http://www.linkedin.com/pub/jens-christensen/0/849/820
Rehan Jalil,Elastica,2012.0,1.0,0.0,NED University of Engineering and Technology,Electrical Engineering,BE,2011.0,Harvard University,,Executive Education,0.0,14.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/rehan-jalil,http://www.linkedin.com/pub/rehan-jalil/0/77/748
Jessica Mah,inDinero,2010.0,0.0,0.0,University of California Berkeley,Computer Science,BA,,,,,0.0,8.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jessica-mah,https://www.linkedin.com/in/jessicamah
Jon Bischke,Entelo,2011.0,2.0,0.0,University of MinnesotaTwin Cities,Operations Research,BA,2003.0,University of California Los Angeles,Business,MBA,0.0,8.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jon-bischke,http://www.linkedin.com/in/jonbischke
Michael Wolfe,Pipewise,2010.0,1.0,0.0,Stanford University,Computer Science,BS,1990.0,Stanford University,Computer Science,MS,1.0,11.0,1.0,0.0,0.0,1.0,1,0,https://www.crunchbase.com/person/michael-wolfe,http://www.linkedin.com/in/wolfemichael
Tim Tuttle,MindMeld,2010.0,2.0,0.0,Massachusetts Institute of Technology,,BS,1995.0,Massachusetts Institute of Technology,,PhD,1.0,5.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/tim-tuttle,http://www.linkedin.com/in/timothytuttle
Suren Markosian,Epic!,2013.0,4.0,0.0,Technische Universität Wien,Physics,,,,,,0.0,13.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/suren-markosian,http://www.linkedin.com/in/surenmarkosian
Omar Siddiqui,"Kiwi, Inc.",2011.0,0.0,1.0,Harvard University,Sociology,BA,2005.0,Harvard University,Business,MBA,1.0,6.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/omar-siddiqui,http://www.linkedin.com/profile/view?id=13334815
Jessica Richman,uBiome,2012.0,0.0,1.0,Stanford University,Computer Science,BS,2010.0,University of Oxford,Sociology,PhD,0.0,4.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jessica-richman,http://www.linkedin.com/in/jessicarichman
Gregg Brockway,Chairish,2012.0,0.0,0.0,Dartmouth College,Economics,BA,1993.0,Harvard University,Business,MBA,1.0,9.0,1.0,0.0,0.0,1.0,0,1,https://www.crunchbase.com/person/gregg-brockway,http://www.linkedin.com/in/greggbrockway
Bart Lorang,FullContact,2010.0,1.0,0.0,University of Colorado Boulder,Computer Science,BS,2009.0,University of Denver,Business,MBA,0.0,5.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/bart-lorang,http://www.linkedin.com/in/bartlorang
Joshua Viner,Wag,2015.0,2.0,0.0,,,,,,,,0.0,10.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/joshua-viner-2,
Aloke Bajpai,ixigo.com,2006.0,0.0,0.0,Indian Institute of Technology Kanpur,Electrical Engineering,,2005.0,University of Pennsylvania,Business,MBA,0.0,13.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/aloke-bajpai,http://in.linkedin.com/in/alokebajpai
Joe Greenstein,Flixster,2005.0,1.0,0.0,University of Pennsylvania,Computer Science,,,,,,0.0,2.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/joe-greenstein,http://www.linkedin.com/in/joegreenstein
Jim Marggraff,Eyefluence,2013.0,3.0,0.0,Massachusetts Institute of Technology,Electrical Engineering,BS,,,,,1.0,5.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jim-marggraff,http://www.linkedin.com/pub/jim-marggraff/1/a79/662
Victor Ho,FiveStars,2010.0,0.0,1.0,University of California Berkeley,Operations Research,BS,,,,,1.0,8.0,0.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/victor-ho,https://www.linkedin.com/in/victor-ho-47257211
Clara Shih,Hearsay Systems,2009.0,0.0,1.0,Stanford University,Computer Science,BS,,University of Oxford,,MS,1.0,9.0,0.0,1.0,1.0,0.0,1,0,https://www.crunchbase.com/person/clara-shih,http://www.linkedin.com/in/clarashih
Robbie Cape,98point6,2015.0,1.0,0.0,Princeton University,Operations Research,BE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/robbie-cape,https://www.linkedin.com/pub/robbie-cape/0/81b/365
Stephanie Horbaczewski,StyleHaul,2010.0,0.0,0.0,Trinity College Hartford,English,BA,2003.0,Suffolk University,Business,MBA,0.0,3.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/stephanie-horbaczewski,http://www.linkedin.com/pub/stephanie-horbaczewski/2/106/3a9
Garrett Lord,Handshake,2012.0,1.0,1.0,Michigan Technological University,Computer Science,BS,,,,,0.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/garrett-lord,
Rohit Gupta,Palerra Inc.,,0.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/rohit-gupta-10,http://www.linkedin.com/in/rmgupta
Diaz Nesamoney,Jivox,2007.0,1.0,0.0,,,,1983.0,Birla Institute of Technology and Science Pilani,Computer Science,MS,1.0,12.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/diaz-nesamoney,http://www.linkedin.com/in/nesamoney
Jon Sobel,Sight Machine,2012.0,0.0,0.0,Princeton University,Public Policy,BA,2005.0,University of Pennsylvania,Business,MBA,1.0,13.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jon-sobel,https://www.linkedin.com/in/jon-sobel-5b19989
Mayank Bawa,Aster Data Systems,2011.0,0.0,0.0,Indian Institute of Technology Bombay,Computer Science,BE,1999.0,Stanford University,Computer Science,PhD,0.0,4.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/mayank-bawa,http://www.linkedin.com/in/mayankbawa
Yoav Kutner,Oro Inc.,2012.0,4.0,0.0,University of California Los Angeles,Computer Science,BS,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/yoav-kutner,http://www.linkedin.com/in/yoavkutner
Hakan Bas,Lidyana.com,2011.0,7.0,1.0,Cornell University,Economics,BA,2008.0,Yale University,Business,MBA,1.0,11.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/hakan-bas,http://www.linkedin.com/in/hakanbas
Eric Alterman,flowthings.io,2010.0,9.0,0.0,Tufts University,Political Science,BA,1985.0,Washington College of Law,Law,JD,0.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/eric-alterman,http://www.linkedin.com/pub/eric-alterman/0/259/2a
Carlos Watson,Ozy Media,2016.0,0.0,1.0,Syracuse University,Business,BS,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/carlos-watson,http://www.linkedin.com/pub/carlos-watson/3/855/a03
Ashish Hemrajani,BookMyShow,1999.0,0.0,0.0,,,,1995.0,Sydenham,Business,MBA,0.0,14.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ashish-hemrajani,https://www.linkedin.com/in/ashishhemrajani
Todd Olson,Pendo,2014.0,2.0,1.0,Carnegie Mellon University,Computer Science,BS,,,,,1.0,5.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/todd-olson,http://www.linkedin.com/in/toddaolson
David Rusenko,Weebly,2006.0,0.0,0.0,Penn State University,Operations Research,BS,,,,,1.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/david-rusenko,http://www.linkedin.com/profile/view?id=6299885
Brian Ballard,Upskill (formerly APX Labs),2011.0,0.0,0.0,Carnegie Mellon University,Electrical Engineering,BS,2002.0,University of Maryland,Business,MBA,1.0,6.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/brian-ballard-2,http://www.linkedin.com/in/baballard
Logan LaHive,Belly,2011.0,0.0,0.0,University of California Berkeley,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/logan-lahive,http://www.linkedin.com/pub/logan-lahive/3/643/1a4
Mike Bergelson,Everwise,2012.0,3.0,1.0,Cornell University,Operations Research,BS,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/mike-bergelson,http://www.linkedin.com/in/mbergelson
Michael Ellenbogen,Evolv Technology,2013.0,1.0,0.0,Colgate University,Physics,BA,,,,,1.0,6.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/michael-ellenbogen,http://www.linkedin.com/pub/michael-ellenbogen/5/748/191
Matt Barnard,Plenty Inc.,2013.0,1.0,0.0,Northwestern University,Economics,BA,2002.0,Stanford University,Business,MS,1.0,7.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/matt-barnard,
Assaf Biderman,Superpedestrian,2012.0,0.0,0.0,Massachusetts Institute of Technology,,,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/assaf-biderman,https://www.linkedin.com/pub/assaf-biderman/5a/b13/751
Sarah Nahm,Lever,2012.0,0.0,0.0,Stanford University,Mechanical Engineering,BS,,,,,0.0,4.0,0.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/sarah-nahm,http://www.linkedin.com/in/sarahnahm
Andrew Feldman,SeaMicro,2007.0,0.0,0.0,Stanford University,Economics,BA,1995.0,Stanford University,Business,MBA,0.0,16.0,0.0,0.0,0.0,1.0,1,0,https://www.crunchbase.com/person/andrew-feldman,http://www.linkedin.com/in/andrewdfeldman
Niraj Shah,Wayfair,2002.0,1.0,0.0,Cornell University,Engineering,BS,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/niraj-shah-2,http://www.linkedin.com/in/nirajshah10
Moshe Vaknin,YouAppi,2011.0,1.0,0.0,Monmouth University,Electrical Engineering,BA,1993.0,Saint Peter's University,Business,MBA,0.0,10.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/moshe-vaknin,http://www.linkedin.com/in/moshevaknin
Aaron Hirschhorn,DogVacay,2012.0,0.0,1.0,Swarthmore College,Cognitive Science,BA,2003.0,University of California Los Angeles ,Business,MBA,0.0,10.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/aaron-hirschhorn,http://www.linkedin.com/in/aaronwh
Harry Glaser,Periscope Data,2012.0,0.0,0.0,University of Rochester,Computer Science,BS,,,,,0.0,3.0,0.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/harry-glaser,http://www.linkedin.com/in/harryglaser
Eric Frenkiel,MemSQL,2011.0,0.0,0.0,Stanford University,Operations Research,BS,,,,,0.0,2.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/eric-frenkiel,http://www.linkedin.com/in/ericfrenkiel
Jim Fowler,"Owler, Inc.",2011.0,1.0,0.0,University of Colorado Boulder,International Relations,BA,,,,,0.0,7.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/jim-fowler,http://www.linkedin.com/pub/jim-fowler/0/34/193
Yair Goldfinger,AppCard,2011.0,2.0,0.0,Tel Aviv University,Computer Science,BA,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/yair-goldfinger,http://www.linkedin.com/pub/yair-goldfinger/0/a5/35
Aron Gelbard,Bloom & Wild,2013.0,0.0,1.0,University of Oxford,Language,BA,2007.0,Harvard University,Business,MBA,0.0,7.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/aron-gelbard,https://www.linkedin.com/in/aron-gelbard-a075a11/
Christophe Bisciglia,WibiData,2010.0,1.0,0.0,University of Washington,Computer Science,BS,,,,,0.0,5.0,0.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/christophe-bisciglia,http://www.linkedin.com/pub/christophe-bisciglia/10/aa8/745
Mike Silagadze,Top Hat,2009.0,0.0,0.0,University of Waterloo,Electrical Engineering,BS,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/mike-silagadze,http://ca.linkedin.com/in/tophatmike
Ethan Anderson,MyTime,2011.0,2.0,1.0,Duke University,Economics,BA,2001.0,Harvard University,Business,MBA,1.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ethan-anderson,http://www.linkedin.com/in/ethanranderson
Kevin MacDonald,Kit Check,2012.0,0.0,0.0,Villanova University,Computer Science,BS,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/kevin-macdonald,http://www.linkedin.com/in/kitcheckkevinmacdonald
Parker Conrad,Zenefits,2012.0,2.0,0.0,Harvard University,Chemistry,BA,,,,,0.0,3.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/parker-conrad,http://www.linkedin.com/in/parkerconrad
Josh Switkes,Peloton Technology,2010.0,0.0,1.0,Harvey Mudd College,Engineering,BS,2001.0,Stanford University,Mechanical Engineering,PhD,1.0,7.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/josh-switkes,https://www.linkedin.com/in/switkes
Ronen Lazar,INTURN,2013.0,2.0,0.0,Yeshiva University,Economics,BA,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ronen-lazar,https://www.linkedin.com/in/ronen-lazar-b24a7810
Ann Johnson,Interana,2012.0,0.0,0.0,California Institute of Technology,Electrical Engineering,BS,,California Institute of Technology,Electrical Engineering,MS,0.0,5.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ann-johnson-2,https://www.linkedin.com/in/ann-stimmler-johnson-32722a2
Steve McCanne,Jut Inc,2013.0,2.0,0.0,University of California Berkeley,Electrical Engineering,BS,,University of California Berkeley,Computer Science,PhD,1.0,12.0,0.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/steve-mccanne-2,http://www.linkedin.com/in/stevenmccanne
Yinglian Xie,DataVisor,2013.0,0.0,0.0,Peking University,Computer Science,BS,2005.0,Carnegie Mellon University,Computer Science,PhD,1.0,7.0,0.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/yinglian-xie,https://www.linkedin.com/in/yinglian-xie-7249812
Anil Stocker,MarketInvoice,2011.0,0.0,0.0,University of Cambridge,Economics,BA,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/anil-stocker,http://www.linkedin.com/pub/anil-stocker/a/749/365
Rajiv Khemani,Innovium Inc,2015.0,1.0,0.0,Indian Institute of Technology Delhi,Computer Science,BE,1993.0,Stanford University,Business,MBA,1.0,23.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/rajiv-khemani,https://www.linkedin.com/in/rajivkhemani?authType=name&authToken=iFVx&trk=prof-sb-browse_map-name
